groupName,time,publicAUC,privateAUC
baseline_rabbit,2024-11-13 5:17:56,0.87786,0.864254
oooooooooooooo,2024-11-30 22:13:45,0.890892,0.861856
出來面隊,2024-11-23 10:00:14,0.87476,0.861731
三個，要不要隨便你,2024-12-01 0:19:27,0.87958,0.861205
尤米爾,2024-11-27 19:47:44,0.871246,0.860646
baseline_eagle,2024-11-13 5:20:14,0.872803,0.860143
The genius,2024-11-21 19:33:41,0.869831,0.858893
好問題,2024-12-01 0:23:11,0.876279,0.85849
希望勞資科以做的都隊,2024-11-29 21:34:06,0.870121,0.858272
group33,2024-11-30 22:23:42,0.865913,0.857111
baseline_wolf,2024-11-13 1:37:09,0.868506,0.85678
隨便,2024-11-30 22:47:31,0.885982,0.856657
baseline_phoenix,2024-11-13 5:33:20,0.870142,0.85625
Foodpanda,2024-11-19 1:14:37,0.869706,0.85591
group45,2024-11-08 14:19:56,0.864913,0.855884
隨便 都行,2024-11-30 15:38:41,0.866986,0.855205
TDRK,2024-11-27 17:25:29,0.868552,0.85498
Sorry my bad,2024-11-30 23:42:03,0.875537,0.854843
熬夜寫Code來杯Java,2024-11-25 20:47:54,0.870199,0.854803
哭暈在廁所,2024-12-01 0:54:32,0.878686,0.854325
不要鬼切了好不好,2024-11-30 0:07:00,0.863044,0.854228
資科1,2024-11-29 19:58:28,0.861957,0.853253
never,2024-11-30 23:22:31,0.885171,0.852777
baseline_shark,2024-11-13 1:21:07,0.866427,0.85114
Chen Polo,2024-12-01 0:05:43,0.868336,0.850839
啊對對對對隊,2024-11-30 23:04:28,0.861011,0.847536
不要Overfitting拜託QQ,2024-11-28 17:00:17,0.866168,0.847111
402,2024-12-01 0:47:25,0.864777,0.84636
Duke Lasagna,2024-11-15 11:56:11,0.861727,0.846288
SpringRain,2024-11-28 10:10:37,0.858733,0.846078
TY,2024-11-23 19:47:06,0.881986,0.845497
group57,2024-11-25 1:07:23,0.852716,0.844494
Ninjaqqqqq,2024-11-30 16:08:21,0.87107,0.841167
老雞排,2024-11-28 1:31:35,0.870215,0.840992
Team61,2024-11-29 17:12:34,0.853223,0.839224
group55,2024-11-24 15:10:45,0.858667,0.838156
NERV,2024-12-01 0:52:21,0.86974,0.83772
baseline_tiger,2024-11-13 1:35:34,0.84637,0.837429
我愛資料科學,2024-11-29 20:59:11,0.865902,0.836355
我是川普，隨便都對隊,2024-11-30 21:31:14,0.861731,0.835684
KH,2024-12-01 0:21:36,0.8764,0.833568
baseline_owl,2024-11-13 1:23:04,0.838018,0.831882
group8,2024-11-30 23:50:28,0.847407,0.830514
Discombobulate,2024-11-17 23:08:39,0.861166,0.83032
頂樓風好大,2024-11-30 23:21:56,0.862339,0.829789
幻影旅團,2024-11-20 23:59:08,0.860541,0.828602
group34,2024-12-01 0:49:16,0.842525,0.828354
我的書是書卷獎的書,2024-11-24 12:28:39,0.839983,0.827428
資料科學敢死隊,2024-11-22 1:48:48,0.87018,0.827294
主辦單位,2024-11-29 16:29:12,0.873348,0.826755
希望都會隊,2024-11-30 21:56:17,0.850197,0.824489
龍生科技,2024-12-01 0:27:09,0.819247,0.818666
你行NISSAN,2024-11-20 3:38:34,0.862377,0.817946
荷包蛋,2024-11-16 2:44:18,0.813483,0.816433
交管米蟲,2024-11-29 19:34:51,0.831759,0.812752
等一下吃什麼！,2024-11-19 11:39:56,0.801727,0.798498
布丁大叫,2024-12-01 0:16:24,0.836846,0.797266
成,2024-11-27 0:34:07,0.82648,0.796089
baseline_panther,2024-11-13 1:19:16,0.849307,0.795627
TA_Z,2024-11-29 14:43:19,0.812819,0.79221
退一步 資科研究社,2024-11-20 19:39:32,0.820644,0.791801
ε,2024-11-27 11:45:36,0.847627,0.784896
NotMeow,2024-11-26 2:30:58,0.833635,0.77495
baseline_crocodile,2024-11-13 2:22:12,0.837439,0.758281
Sigma,2024-11-15 16:51:04,0.667744,0.664259
admin,2024-11-30 16:41:37,0.213566,0.223145
group38,2024-11-30 23:11:53,0.213566,0.223145
group2,2024-12-01 0:30:51,0.0287214,0.0298484
